1  Justin Thomas -26 68 61 67 66 262 $1,260,000 500 
2  Adam Scott -25 68 66 66 63 263 $756,000 300 
T3  Kevin Na -24 67 66 64 67 264 $406,000 162 
T3  Brendan Steele -24 67 63 66 68 264 $406,000 162 
5  Hideki Matsuyama -22 65 66 68 67 266 $280,000 110 
6  James Hahn -21 70 65 64 68 267 $252,000 100 
T7  Scott Piercy -19 62 69 69 69 269 $225,750 87 
T7  Brian Harman -19 70 63 66 70 269 $225,750 87 
9  Tony Finau -18 71 67 66 66 270 $203,000 80 
T10  Charles Howell III -17 66 72 67 66 271 $168,000 67 
T10  Jim Herman -17 70 66 68 67 271 $168,000 67 
T10  Patrick Reed -17 68 68 66 69 271 $168,000 67 
T10  Ryan Moore -17 67 69 66 69 271 $168,000 67 
T14  Daniel Summerhays -16 71 66 69 66 272 $126,000 56 
T14  Cameron Tringale -16 70 68 65 69 272 $126,000 56 
T14  David Lingmerth -16 73 65 64 70 272 $126,000 56 
T17  Branden Grace -15 67 70 69 67 273 $101,500 52 
T17  Stewart Cink -15 68 64 70 71 273 $101,500 52 
T17  Alex Cejka -15 66 71 66 70 273 $101,500 52 
T17  Spencer Levin -15 67 64 68 74 273 $101,500 52 
T21  Troy Merritt -14 68 66 72 68 274 $78,400 49 
T21  Russell Knox -14 70 69 67 68 274 $78,400 49 
T21  Anirban Lahiri -14 70 67 67 70 274 $78,400 49 
T24  Hudson Swafford -13 70 69 69 67 275 $61,600 46 
T24  Paul Casey -13 69 69 69 68 275 $61,600 46 
T24  Sergio Garcia -13 70 67 69 69 275 $61,600 46 
T27  Brendon de Jonge -12 69 69 71 67 276 $52,850 43 
T27  Scott Hend -12 67 70 72 67 276 $52,850 0 
T29  Ben Crane -11 71 70 68 68 277 $44,508 39 
T29  David Hearn -11 70 65 74 68 277 $44,508 39 
T29  Kevin Chappell -11 69 69 70 69 277 $44,508 39 
T29  Marc Leishman -11 71 70 70 66 277 $44,508 39 
T29  Chad Campbell -11 68 70 69 70 277 $44,508 39 
T29  Paul Peterson -11 70 67 68 72 277 $44,508 0 
T35  Ryo Ishikawa -10 69 69 71 69 278 $36,925 35 
T35  Jason Dufner -10 69 75 69 65 278 $36,925 35 
T37  Cameron Smith -9 66 72 72 69 279 $30,800 31 
T37  Matt Jones -9 67 71 73 68 279 $30,800 31 
T37  John Senden -9 70 70 72 67 279 $30,800 31 
T37  Colt Knost -9 70 70 72 67 279 $30,800 31 
T37  Kevin Kisner -9 71 65 70 73 279 $30,800 31 
T37  Jason Gore -9 66 68 70 75 279 $30,800 31 
T43  Zac Blair -8 70 71 67 72 280 $23,800 26 
T43  Kyle Reifers -8 70 66 71 73 280 $23,800 26 
T43  Harris English -8 71 71 69 69 280 $23,800 26 
T43  Nick Watney -8 70 70 72 68 280 $23,800 26 
T47  Henrik Stenson -7 71 67 71 72 281 $18,223 21 
T47  Ben Martin -7 70 70 68 73 281 $18,223 21 
T47  Morgan Hoffmann -7 67 68 74 72 281 $18,223 21 
T47  Keegan Bradley -7 66 70 72 73 281 $18,223 21 
T47  Carlos Ortiz -7 71 74 67 69 281 $18,223 21 
T47  Nick Taylor -7 74 70 69 68 281 $18,223 21 
T53  Robert Streb -6 69 69 72 72 282 $16,287 17 
T53  Jon Curran -6 69 70 67 76 282 $16,287 17 
T53  Rory Sabbatini -6 69 69 77 67 282 $16,287 17 
T56  Scott Pinckney -5 69 73 68 73 283 $15,540 12 
T56  Greg Owen -5 70 72 69 72 283 $15,540 12 
T56  Gary Woodland -5 75 68 69 71 283 $15,540 12 
T56  Padraig Harrington -5 68 72 73 70 283 $15,540 12 
T56  Andrew Dodt -5 72 70 74 67 283 $15,540 0 
T56  Prayad Marksaeng -5 72 76 68 67 283 $15,540 0 
T56  Scott Brown -2 68 72 72 71 283 $15,540 12 
63  Pat Perez -4 71 69 72 72 284 $14,980 8 
T64  Daniel Berger -3 76 66 67 76 285 $14,630 5 
T64  Ernie Els -3 72 69 72 72 285 $14,630 5 
T64  Luke Donald -3 74 73 70 68 285 $14,630 5 
T64  Ben Leong -3 71 72 76 66 285 $14,630 0 
T68  Danny Chia -2 71 71 71 73 286 $14,140 0 
T68  Chesson Hadley -2 71 71 73 71 286 $14,140 2 
T68  Jerry Kelly -2 73 72 71 70 286 $14,140 2 
71  Steven Bowditch E 73 73 73 69 288 $13,860 0 
72  Matt Every +1 72 72 72 73 289 $13,720 0 
73  S.S.P. Chowrasia +3 72 74 74 71 291 $13,580 0 
74  Mardan Mamat +5 74 73 74 72 293 $13,440 0 
T75  Richard Lee +7 71 77 70 77 295 $13,230 0 
T75  Arie Ahmad Irawan +7 75 74 72 74 295 $13,230 0 
77  John Peterson +10 80 74 78 66 298 $13,020 0 

